state,x,y
Jammu/Kashmir,-91,241
Himachal Pradesh,-81,188
Punjab,-117,163
Haryana,-103,131
Uttarakhand,-39,146
Uttar Pradesh,-31,83
Rajasthan,-154, 89
Assam,186, 80
Arunachal Pradesh,222,133
Nagaland,220,87
Manipur,211,55
Meghalaya,151,67
Mizoram,190,18
Tripura,171,33
West Bengal,103,10
Odisha,51,-34
Jharkhand,55,22
Madhya Pradesh,-80,25
Chhattisgarh,-3,-17
Gujrat,-174,26
Maharashtra, -138,-74
Goa,-156,-140
Andhra Pradesh,-56,-120
Karnataka,-121,-150
Tamil Nadu,-64,-244
Kerala,-114,-234
Telangana,-64,-81
